nom;lat;lon
11001;43.235138628;2.532834201
11003;43.044692688;2.136515912
11004;43.097978233;2.092076593
11008;42.99419784;2.258684791
11009;43.265225733;2.174803002
11010;42.962204778;2.218972835
11012;43.311337823;2.910488603
11013;43.245738053;2.77094126
11014;43.187388933;3.089015254
11016;43.105091278;2.497375532
11018;43.201263792;2.204570916
11022;43.273886088;2.6567986340000003
11023;43.221245005;2.5050173840000003
11024;43.11807108;2.977302146
11025;43.267903206;2.448968345
11027;43.175148932;2.514470618
11034;43.123813109;2.091082404
11040;43.148382232;2.869838571
11041;43.329764253;2.871298132
11042;43.213679958;2.589035933
11045;42.995179266;2.161667036
11048;43.14620318;2.798273389
11049;43.251430843;2.110586669
11053;43.13551166;2.160753107
11064;43.132962214;2.653550229
11067;43.226448341;2.831256142
11068;43.183414154;2.553460884
11069;43.209415595;2.343422135
11070;43.306162117;2.121601814
11071;42.980494691;2.74761188
11077;43.233026898;2.67733552
11078;43.02051865;2.126242774
11081;43.332613524;2.51632941
11084;43.225742397;2.254734927
11085;43.169079579;2.334356407
11086;42.937267289;2.960117412
11088;43.178421567;2.359726121
11090;43.107731501;2.237780649
11098;43.184499993;2.7161291480000003
11099;43.283738198;2.384290306
11102;43.154667615;2.305075901
11106;43.247659024;3.058971335
11110;43.056933717;2.743788086
11111;43.200073763;2.8162759900000003
11113;42.851455162;2.609513352
11116;43.257600222;3.005628157
11120;43.046378946;2.179156685
11121;43.079141984;2.1214182
11122;43.179962504;2.611831566
11124;42.997691243;2.812591497
11126;43.22289222;2.708283443
11132;43.125671629;2.705226326
11137;42.984776122;2.614687275
11139;43.155580221;2.02908243
11140;43.143050322;2.738891754
11144;42.895862273;2.966127513
11145;43.214898429;3.175618889
11148;43.167768811;2.685956005
11151;43.187559871;2.456950225
11152;43.044623333;2.7928342610000003
11157;42.96127233;2.871147707
11158;43.079918578;2.185552759
11161;43.074617908;2.29913261
11164;43.275975097;2.876976082
11170;43.103602213;3.081876506
11172;43.267255732;2.721626347
11179;43.065184087;2.470982734
11185;43.096002435;2.604200077
11190;43.247941172;2.6499209
11191;42.94980784;2.55865703
11197;43.096680661;2.169484528
11198;43.271358589;2.510108547
11201;43.14137015;2.33927573
11202;42.899577824;3.025947838
11203;43.204059124;2.762030341
11205;43.327691974;2.404935081
11206;43.049972342;2.239133252
11207;43.061543079;2.12474837
11210;43.175504776;2.787966445
11211;43.024891168;2.203997928
11212;43.307330447;2.8299129130000003
11214;43.061168845;2.167509921
11215;43.250042588;2.453740247
11216;43.117655664;2.184346138
11220;43.210458792;2.549490506
11227;43.045896279;2.528696438
11241;43.201214771;2.681665141
11248;43.168840093;2.431628191
11251;43.133553303;2.548965255
11253;43.313579486;2.214380597
11254;43.200066861;2.148362194
11255;43.181410076;2.924416979
11256;43.105348897;2.807191301
11257;43.15338856;2.466378625
11258;43.230391832;2.95697434
11259;43.281016843;2.238314197
11261;43.172373732;2.645811346
11262;43.165034031;3.020200005
11264;43.20392759;2.885948948
11266;43.02147533;3.038221711
11267;43.177539691;2.836540512
11269;43.29282676;2.969777315
11272;43.167304205;2.387305399
11273;43.259476614;2.81685473
11274;43.074415269;2.146455785
11276;42.854149395;2.715710913
11279;43.251233398;2.313909085
11280;43.297394619;2.686954481
11285;43.090072325;2.949143672
11286;43.293673851;2.566296561
11288;43.254834276;2.248217297
11289;43.082794742;2.2550346770000003
11293;43.107213464;2.280810514
11295;43.051882103;2.906373918
11296;43.284953259;2.812555363
11301;43.229198627;2.612593645
11307;43.228641536;2.877579496
11311;43.107212112;2.64037558
11314;43.078398041;2.540578121
11315;43.26879502;2.591239233
11318;43.214807849;2.653514194
11322;42.992113789;2.929891766
11323;42.993295483;2.206874172
11324;43.249815718;2.797007233
11327;43.166276897;2.268904766
11328;43.106221019;2.131705778
11330;43.218085556;2.479657351
11332;43.092885522;2.849081437
11337;43.208377431;2.637565876
11340;43.243217353;2.205409888
11342;43.24787993;2.559438529
11344;43.07867345;2.338491448
11345;42.960695611;2.827983666
11351;43.083395167;2.714037602
11353;43.251276026;2.924305448
11355;43.103867131;2.211205802
11360;43.249268223;2.891575409
11363;43.049532486;2.608116973
11364;43.032446687;2.30040612
11366;43.274550297;2.845219841
11368;43.318805315;2.416792062
11369;43.270336816;2.934936727
11370;43.236305522;3.107191819
11372;43.32153914;2.357432052
11379;43.039590728;2.981175918
11386;43.030054245;2.669622022
11390;43.08930617;2.783337716
11392;43.084075512;2.660262138
11393;43.247105947;2.726648013
11394;43.019942168;2.169148906
11396;43.318222421;2.569015993
11397;43.20540778;2.459776321
11401;42.90627739;2.727780393
11404;43.275449514;2.282318337
11405;43.251846301;2.856609811
11408;43.12007226;2.329207745
11410;43.252443663;2.418608197
11414;43.08133471;2.445202952
11415;43.057004656;2.300024439
11417;43.142371748;2.202692168
