;Year;Municipality;Yield;Huglin_Index;Hot_D;Very_Hot_D;Sever_Heat;Frost_D;Late_Frost;Sever_Frost;Climatic_Dryness_Index;Soil_Water_Stock;Soil_pH;cluster
2955;2012;34190;45,88888889;2400,0545;50;6;1,3;17;0;0;-258,7701454;77,7055029;8,218216414;5
2956;2013;11296;87,79605183;2223,4095;35;0;0,2;16;0;0;-221,4619394;93,94821039;8,31386615;5
2957;2013;11273;84,98625654;2223,4095;35;0;0,2;16;0;0;-221,4619394;103,2693569;8,170999476;5
2958;2013;34189;89,96345618;2223,4095;35;0;0,2;16;0;0;-221,4619394;106,6915737;8,193247302;5
2959;2013;11324;81,57991156;2223,4095;35;0;0,2;16;0;0;-221,4619394;114,0645013;8,219532741;5
2960;2013;34190;63,98500577;2223,4095;35;0;0,2;16;0;0;-221,4619394;77,7055029;8,218216414;5
2961;2013;34026;55,52542373;2223,4095;35;0;0,2;16;0;0;-221,4619394;82,15694811;8,336290137;5
2962;2014;34189;88,84895568;2366,8885;27;0;0,4;0;0;0;-236,654871;106,6915737;8,193247302;5
2963;2014;11273;70,8883792;2366,8885;27;0;0,4;0;0;0;-236,654871;103,2693569;8,170999476;5
2964;2014;11296;81,47880456;2366,8885;27;0;0,4;0;0;0;-236,654871;93,94821039;8,31386615;5
2965;2014;34026;59,54411765;2366,8885;27;0;0,4;0;0;0;-236,654871;82,15694811;8,336290137;5
2966;2014;34190;45,94463668;2366,8885;27;0;0,4;0;0;0;-236,654871;77,7055029;8,218216414;5
2967;2014;11324;77,47151899;2366,8885;27;0;0,4;0;0;0;-236,654871;114,0645013;8,219532741;5
