;Year;Municipality;Yield;Huglin_Index;Hot_D;Very_Hot_D;Sever_Heat;Frost_D;Late_Frost;Sever_Frost;Climatic_Dryness_Index;Soil_Water_Stock;Soil_pH;cluster
2766;2013;11404;86,02600339;1831,1855;18;0;0;18;0;0;-69,49513699;88,65626434;8,219340354;1
2767;2013;11288;60,38263666;1831,1855;18;0;0;18;0;0;-69,49513699;102,6671369;8,243483769;1
2768;2014;11404;86,08568285;1949,3265;4;0;0;4;0;0;-67,42683742;88,65626434;8,219340354;1
2769;2014;11279;75,54823665;1949,3265;4;0;0;4;0;0;-67,42683742;95,81834753;8,271687427;1
2770;2014;11288;56,11004785;1949,3265;4;0;0;4;0;0;-67,42683742;102,6671369;8,243483769;1
2771;2015;11288;56,14057508;2124,066;26;0;0,6;10;0;0;-213,0547353;102,6671369;8,243483769;1
2772;2015;11404;71,79329704;2124,066;26;0;0,6;10;0;0;-213,0547353;88,65626434;8,219340354;1
2773;2015;11279;76,40611069;2124,066;26;0;0,6;10;0;0;-213,0547353;95,81834753;8,271687427;1
2774;2016;11288;62,57461103;2022,9715;21;0;0;6;0;0;-190,9764843;102,6671369;8,243483769;1
2775;2016;11404;72,64652287;2022,9715;21;0;0;6;0;0;-190,9764843;88,65626434;8,219340354;1
2776;2016;11279;65,45051039;2022,9715;21;0;0;6;0;0;-190,9764843;95,81834753;8,271687427;1
2777;2017;11279;63,82520477;2071,33;19;0;0;16;0;0;-198,5769052;95,81834753;8,271687427;1
2778;2017;11288;39,54221123;2071,33;19;0;0;16;0;0;-198,5769052;102,6671369;8,243483769;1
2779;2017;11404;50,33277311;2071,33;19;0;0;16;0;0;-198,5769052;88,65626434;8,219340354;1
2780;2018;11404;44,54567079;2185,6085;27;0;1,9;6;0;0;-88,54497161;88,65626434;8,219340354;1
2781;2018;11288;49,91521525;2185,6085;27;0;1,9;6;0;0;-88,54497161;102,6671369;8,243483769;1
2782;2018;11279;69,09601348;2185,6085;27;0;1,9;6;0;0;-88,54497161;95,81834753;8,271687427;1
2783;2010;11429;49,49871324;2018,3365;22;1;0;37;0;0;-164,0398858;96,07796725;8,227929578;1
2784;2010;11410;68,21536243;2018,3365;22;1;0;37;0;0;-164,0398858;91,81034716;8,202366921;1
2785;2010;11099;58,31728548;2018,3365;22;1;0;37;0;0;-164,0398858;81,355382;8,203525227;1
2786;2010;11368;81;2018,3365;22;1;0;37;0;0;-164,0398858;74,08785923;7,78480848;1
2787;2010;11425;79;2018,3365;22;1;0;37;0;0;-164,0398858;87,55254917;8,274598736;1
2788;2011;11410;76,36747798;2169,7465;14;1;0;10;0;0;-164,0565918;91,81034716;8,202366921;1
2789;2011;11368;87,3986014;2169,7465;14;1;0;10;0;0;-164,0565918;74,08785923;7,78480848;1
2790;2011;11429;49,28333724;2169,7465;14;1;0;10;0;0;-164,0565918;96,07796725;8,227929578;1
2791;2011;11425;79;2169,7465;14;1;0;10;0;0;-164,0565918;87,55254917;8,274598736;1
2792;2011;11099;71,54885671;2169,7465;14;1;0;10;0;0;-164,0565918;81,355382;8,203525227;1
2793;2012;11410;72,76345895;2053,511;24;3;0,2;20;0;0;-149,98868;91,81034716;8,202366921;1
2794;2012;11368;89;2053,511;24;3;0,2;20;0;0;-149,98868;74,08785923;7,78480848;1
2795;2012;11429;51,07298246;2053,511;24;3;0,2;20;0;0;-149,98868;96,07796725;8,227929578;1
2796;2012;11099;59,79680589;2053,511;24;3;0,2;20;0;0;-149,98868;81,355382;8,203525227;1
2797;2013;11099;59,32828151;1856,06;19;0;0;18;0;0;-74,0559129;81,355382;8,203525227;1
2798;2013;11429;50,01077199;1856,06;19;0;0;18;0;0;-74,0559129;96,07796725;8,227929578;1
2799;2013;11410;78,90008467;1856,06;19;0;0;18;0;0;-74,0559129;91,81034716;8,202366921;1
2800;2013;11368;87;1856,06;19;0;0;18;0;0;-74,0559129;74,08785923;7,78480848;1
2801;2014;11410;61,88409704;1972,3985;5;0;0;4;0;0;-70,71667376;91,81034716;8,202366921;1
2802;2014;11099;61,48968132;1972,3985;5;0;0;4;0;0;-70,71667376;81,355382;8,203525227;1
2803;2014;11429;31,23290282;1972,3985;5;0;0;4;0;0;-70,71667376;96,07796725;8,227929578;1
2804;2014;11368;27;1972,3985;5;0;0;4;0;0;-70,71667376;74,08785923;7,78480848;1
2805;2015;11368;79,87192118;2148,58;27;0;0,7;12;0;0;-216,2554355;74,08785923;7,78480848;1
2806;2015;11099;60,63895443;2148,58;27;0;0,7;12;0;0;-216,2554355;81,355382;8,203525227;1
2807;2015;11429;51,64019117;2148,58;27;0;0,7;12;0;0;-216,2554355;96,07796725;8,227929578;1
2808;2015;11410;69,37576453;2148,58;27;0;0,7;12;0;0;-216,2554355;91,81034716;8,202366921;1
2809;2016;11099;63,96156083;2050,627;21;0;0;8;0;0;-194,5738308;81,355382;8,203525227;1
2810;2016;11410;61,24704074;2050,627;21;0;0;8;0;0;-194,5738308;91,81034716;8,202366921;1
2811;2016;11429;42,4598338;2050,627;21;0;0;8;0;0;-194,5738308;96,07796725;8,227929578;1
2812;2016;11368;46,34365325;2050,627;21;0;0;8;0;0;-194,5738308;74,08785923;7,78480848;1
2813;2017;11099;80,72461358;2095,2775;21;0;0;16;0;0;-202,1314619;81,355382;8,203525227;1
2814;2017;11368;33,52953157;2095,2775;21;0;0;16;0;0;-202,1314619;74,08785923;7,78480848;1
2815;2017;11410;60,21628106;2095,2775;21;0;0;16;0;0;-202,1314619;91,81034716;8,202366921;1
2816;2017;11429;26,39798911;2095,2775;21;0;0;16;0;0;-202,1314619;96,07796725;8,227929578;1
2817;2018;11099;57,59193785;2207,393;28;0;2,3;6;0;0;-92,36161441;81,355382;8,203525227;1
2818;2018;11410;60,85643821;2207,393;28;0;2,3;6;0;0;-92,36161441;91,81034716;8,202366921;1
2819;2018;11429;38,60711674;2207,393;28;0;2,3;6;0;0;-92,36161441;96,07796725;8,227929578;1
2820;2018;11368;64,47319347;2207,393;28;0;2,3;6;0;0;-92,36161441;74,08785923;7,78480848;1
2821;2010;11198;46,4242339;2040,43;22;2;0;37;0;0;-166,6488245;80,94908798;8,236856558;1
2822;2010;11215;77,63630172;2040,43;22;2;0;37;0;0;-166,6488245;87,88791618;8,017074513;1
2823;2010;11025;65,74966171;2040,43;22;2;0;37;0;0;-166,6488245;81,80151829;8,190622995;1
2824;2010;11426;62,46775204;2040,43;22;2;0;37;0;0;-166,6488245;73,40830669;8,07764909;1
2825;2011;11215;81,43594035;2189,0075;14;1;0;10;0;0;-166,2753471;87,88791618;8,017074513;1
