Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30243;st christol lez ales;30;7;occitanie;44,0839233;4,0761847;790;764;749;737;731;749;19,691668;20,241665;19,083332;20,733332;19,516668;19,691668;15,0625005;15,4874995;14,5;15,8374995;14,8708335;15,0625005;10,433333;10,733334;9,916668;10,941667;10,224999;10,433333;9,258335
;30244;st clement;30;4;occitanie;43,8276634;4,0258212;749;735;715;704;695;715;20,525;21;19,925001;21,416666;20,291666;20,525;15,766667;16,1166665;15,195834;16,454166;15,520833;15,766667;11,008334;11,233333;10,466667;11,491666;10,75;11,008334;9,516666
;34247;st clement de riviere;34;7;occitanie;43,6868286;3,8429699;696;687;665;657;647;665;20,708334;21,183332;20,166668;21,58333;20,483332;20,708334;16,0875005;16,4291655;15,5625015;16,774998;15,8541665;16,0875005;11,466667;11,674999;10,958335;11,966666;11,225001;11,466667;9,241667
;11337;st couat d aude;11;6;occitanie;43,2083778;2,6375659;647;648;622;621;619;622;20,4;20,999998;19,833334;21,366667;20,266668;20,4;15,8749995;16,2583325;15,3416665;16,6208335;15,762501;15,8749995;11,349999;11,516667;10,849999;11,875;11,258334;11,349999;9,050001
;30248;st dezery;30;7;occitanie;43,9953499;4,2651854;806;787;768;755;746;768;20,833332;21,333334;20,216665;21,766665;20,608335;20,833332;15,7416665;16,129167;15,1624995;16,458333;15,5041675;15,7416665;10,650001;10,925;10,108334;11,150001;10,4;10,650001;10,183331
;34249;st drezery;34;7;occitanie;43,7288589;3,9779215;727;719;696;687;676;696;20,708332;21,2;20,15;21,59167;20,491667;20,708332;15,9166665;16,2875;15,3874995;16,6166685;15,6875005;15,9166665;11,125001;11,375;10,624999;11,641667;10,883334;11,125001;9,583331
;66172;st esteve;66;6;occitanie;42,7151375;2,8462417;573;578;547;548;540;548;21,35;21,875;20,816668;22,233335;21,191666;21,35;16,8541665;17,1708335;16,3125005;17,520834;16,6791665;16,8541665;12,358333;12,466667;11,808333;12,808333;12,166667;12,358333;8,991667
;34254;st felix de lodez;34;3;occitanie;43,6613083;3,4690142;639;629;608;603;596;608;20,941668;21,441666;20,366667;21,866667;20,750002;20,941668;16,350001;16,704166;15,820833;17,0624995;16,1500005;16,350001;11,758334;11,966666;11,274999;12,258332;11,549999;11,758334;9,183334
;11342;st frichoux;11;6;occitanie;43,247879;2,5594385;654;654;628;628;626;628;20,275;20,883333;19,741667;21,283335;20,149998;20,275;15,7749995;16,1625;15,254167;16,533334;15,654166;15,7749995;11,274999;11,441667;10,766667;11,783333;11,158334;11,274999;9,000001
;34258;st genies de fontedit;34;3;occitanie;43,4688454;3,1748013;629;629;604;602;595;604;20,525;21,075;20,016668;21,474997;20,366667;20,525;16,016667;16,3958335;15,5208345;16,7541645;15,8541665;16,016667;11,508334;11,716667;11,025001;12,033332;11,341666;11,508334;9,016666
