Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;11151;fonties d aude;11;1;occitanie;43,187561;2,4569502;703;653;684;668;659;668;19,766666;20,891666;19,166666;20,791668;19,166666;19,766666;15,4166665;16,1375;14,7999995;16,1791675;15,083333;15,4166665;11,066667;11,383334;10,433333;11,566667;11;11,066667;8,699999
;30116;fournes;30;5;occitanie;43,9330864;4,6039515;819;756;786;769;758;769;21,408333;22,333336;20,666666;22,316666;20,666666;21,408333;16,3208335;16,979168;15,583333;17,008333;15,8124995;16,3208335;11,233334;11,625;10,5;11,7;10,958333;11,233334;10,174999
;66084;fourques;66;2;occitanie;42,584877;2,777705;621;549;594;575;561;575;21,05;22,1;20,475;22,008333;20,475;21,05;16,3750005;17,0499995;15,7666665;17,087499;16,008334;16,3750005;11,700001;11,999999;11,058333;12,166665;11,541668;11,700001;9,349999
;34105;fouzilhon;34;2;occitanie;43,5053596;3,2372568;643;596;627;606;601;606;20,041668;21,083334;19,441666;21,033333;19,441666;20,041668;15,7583335;16,4791665;15,1749995;16,529166;15,404167;15,7583335;11,474999;11,874999;10,908333;12,024999;11,366668;11,474999;8,566669
;11157;fraisse des corbieres;11;3;occitanie;42,9612732;2,8711476;639;585;624;607;594;607;19,833334;20,933332;19,258333;20,816664;19,258333;19,833334;15,7166665;16,4124995;15,1125;16,4541655;15,370833;15,7166665;11,599999;11,891667;10,966667;12,091667;11,483333;11,599999;8,233335
;34108;frontignan;34;3;occitanie;43,4481316;3,7495801;634;584;618;594;588;594;20,625;21,591667;20,066664;21,541666;20,066664;20,625;16,9666665;17,6750005;16,404165;17,708333;16,604165;16,9666665;13,308333;13,758334;12,741666;13,875;13,141666;13,308333;7,316667
;34109;gabian;34;2;occitanie;43,5183029;3,2644446;636;588;620;600;593;600;20,175;21,208334;19,575;21,175001;19,575;20,175;15,9208335;16,641667;15,341667;16,7;15,5708335;15,9208335;11,666667;12,075;11,108334;12,224999;11,566667;11,666667;8,508333
;30121;gailhan;30;4;occitanie;43,8476868;4,0284629;736;676;708;686;679;686;20,725;21,666666;20,025;21,666666;20,025;20,725;15,929167;16,6;15,245833;16,6375;15,4708335;15,929167;11,133334;11,533334;10,466666;11,608334;10,916667;11,133334;9,591666
;11158;gaja et villedieu;11;1;occitanie;43,0799179;2,1855528;763;701;733;718;710;718;19,783335;20,925001;19,208334;20,808332;19,208334;19,783335;15,041667;15,779167;14,4458335;15,7958325;14,720834;15,041667;10,299999;10,633333;9,683333;10,783333;10,233334;10,299999;9,483336
;30122;gajan;30;7;occitanie;43,8983421;4,2257752;789;726;760;737;728;737;20,758333;21,699999;20,041668;21,699999;20,041668;20,758333;15,866666;16,5416655;15,170834;16,579167;15,391668;15,866666;10,974999;11,383332;10,3;11,458335;10,741668;10,974999;9,783334
;34110;galargues;34;7;occitanie;43,7822266;4,0084109;719;660;694;671;663;671;21,066668;21,975;20,366667;22;20,366667;21,066668;16,2083335;16,8708335;15,5291665;16,929167;15,7458335;16,2083335;11,349999;11,766667;10,691666;11,858334;11,125;11,349999;9,716669
;11161;gardie;11;1;occitanie;43,0746193;2,2991326;767;705;739;724;715;724;19,175001;20,291668;18,591667;20,20833;18,591667;19,175001;14,741667;15,4625005;14,1375;15,5083315;14,4291665;14,741667;10,308333;10,633333;9,683333;10,808333;10,266666;10,308333;8,866668
;34112;garrigues;34;7;occitanie;43,7985153;4,0105157;742;680;714;692;684;692;20,716665;21,666666;20,041666;21,650002;20,041666;20,716665;15,9625;16,641666;15,291666;16,6791675;15,5083325;15,9625;11,208335;11,616666;10,541666;11,708333;10,974999;11,208335;9,50833
;30127;gaujac;30;5;occitanie;44,0758247;4,5714841;875;805;840;820;811;820;20,341665;21,325;19,583334;21,325;19,583334;20,341665;15,370833;16,0666665;14,641667;16,1124995;14,8708335;15,370833;10,400001;10,808333;9,7;10,899999;10,158333;10,400001;9,941664
;30128;generac;30;5;occitanie;43,7238159;4,3591056;780;718;754;731;723;731;21,416666;22,275002;20,71667;22,283333;20,71667;21,416666;16,575;17,220835;15,883335;17,25;16,0916685;16,575;11,733334;12,166668;11,05;12,216667;11,466667;11,733334;9,683332
;34113;gigean;34;3;occitanie;43,4942093;3,7232718;670;617;654;627;621;627;20,408333;21,391665;19,85;21,35;19,85;20,408333;16,4374995;17,154166;15,879167;17,187501;16,083333;16,4374995;12,466666;12,916667;11,908334;13,025002;12,316666;12,466666;7,941667
;34114;gignac;34;3;occitanie;43,639492;3,5739775;649;599;631;609;601;609;20,983334;21,966667;20,358335;21,941664;20,358335;20,983334;16,4083335;17,1083335;15,804167;17,1499985;16,0166675;16,4083335;11,833333;12,25;11,249999;12,358333;11,675;11,833333;9,150001
;11164;ginestas;11;6;occitanie;43,2759743;2,876976;600;557;586;571;564;571;21,033335;22,108332;20,433336;22,033333;20,433336;21,033335;16,4916675;17,20833175;15,8916675;17,254166;16,150001;16,4916675;11,95;12,3083315;11,349999;12,474999;11,866666;11,95;9,083335
;30131;goudargues;30;4;occitanie;44,2087479;4,4392834;875;801;835;817;808;817;19,9;20,975;19,183332;21,016668;19,183332;19,9;15,0749995;15,8208335;14,3833325;15,8833345;14,629166;15,0749995;10,249999;10,666667;9,583333;10,750001;10,075;10,249999;9,650001
;34116;grabels;34;7;occitanie;43,6505127;3,7939544;685;630;664;641;631;641;20,916666;21,874998;20,291666;21,85;20,291666;20,916666;16,3541665;17,045832;15,733333;17,075;15,9458335;16,3541665;11,791667;12,216666;11,175;12,3;11,600001;11,791667;9,124999
;11170;gruissan;11;6;occitanie;43,1036034;3,0818765;568;523;556;540;529;540;20,241667;21,316666;19,675;21,224998;19,675;20,241667;16,5541665;17,2749995;15,970833;17,324999;16,2208335;16,5541665;12,866666;13,233333;12,266666;13,425;12,766667;12,866666;7,375001
;34118;guzargues;34;7;occitanie;43,7285538;3,9244754;726;668;703;678;670;678;20,633333;21,566668;19,941666;21,575003;19,941666;20,633333;15,925;16,612501;15,2749995;16,6541685;15,4833335;15,925;11,216667;11,658334;10,608333;11,733334;11,025001;11,216667;9,416666
;11172;homps;11;6;occitanie;43,2672539;2,7216263;625;578;610;593;586;593;20,708334;21,833334;20,116667;21,75;20,116667;20,708334;16,233334;16,9625;15,6375;17,0083335;15,904167;16,233334;11,758334;12,091666;11,158333;12,266667;11,691667;11,758334;8,95
;30135;jonquieres st vincent;30;5;occitanie;43,8281593;4,5576982;787;725;759;736;729;736;21,633333;22,491669;20,883333;22,5;20,883333;21,633333;16,641667;17,275001;15,904166;17,3166675;16,1291665;16,641667;11,650001;12,058333;10,924999;12,133335;11,375;11,650001;9,983332
;30136;junas;30;4;occitanie;43,7617226;4,117363;734;674;708;685;677;685;21,225;22,158333;20,541666;22,158333;20,541666;21,225;16,345833;17,025;15,6791665;17,066667;15,8916675;16,345833;11,466666;11,891667;10,816667;11,975001;11,241669;11,466666;9,758334
;34123;juvignac;34;7;occitanie;43,6241112;3,7957342;671;618;652;627;619;627;21,25;22,199999;20,625;22,175001;20,625;21,25;16,666666;17,358333;16,0541665;17,3875;16,266667;16,666666;12,083332;12,516667;11,483333;12,599999;11,908334;12,083332;9,166668
;34035;la boissiere;34;4;occitanie;43,6541367;3,6440911;698;641;678;654;645;654;19,883333;20,85;19,258333;20,85;19,258333;19,883333;15,591666;16,3;14,9875;16,3333335;15,1958325;15,591666;11,299999;11,75;10,716667;11,816667;11,133332;11,299999;8,583334
;34059;la caunette;34;2;occitanie;43,3674393;2,7871966;677;628;662;646;635;646;19,591667;20,708334;18,991667;20,616665;18,991667;19,591667;15,2291665;15,9666665;14,6249995;15,9958325;14,891667;15,2291665;10,866666;11,224999;10,258332;11,375;10,791667;10,866666;8,725001
;11120;la digne d aval;11;1;occitanie;43,0463791;2,1791568;763;701;733;718;710;718;19,783335;20,925001;19,208334;20,808332;19,208334;19,783335;15,041667;15,779167;14,4458335;15,7958325;14,720834;15,041667;10,299999;10,633333;9,683333;10,783333;10,233334;10,299999;9,483336
;34141;la liviniere;34;3;occitanie;43,3376961;2,6330948;735;684;717;700;691;700;19,033333;20,133333;18,425001;20,041666;18,425001;19,033333;14,65;15,366666;14,029167;15,4041665;14,3125005;14,65;10,266667;10,599999;9,633333;10,766667;10,2;10,266667;8,766666
;11190;la redorte;11;6;occitanie;43,2479401;2,6499209;642;594;622;607;599;607;20,583332;21,708334;19,975002;21,608332;19,975002;20,583332;16,066666;16,795834;15,462501;16,8333325;15,7250005;16,066666;11,55;11,883334;10,95;12,058333;11,474999;11,55;9,033332
;30222;la roque sur ceze;30;7;occitanie;44,1906242;4,5188551;869;798;831;815;804;815;20,391668;21,466665;19,65833;21,458334;19,65833;20,391668;15,5041675;16,2416655;14,791665;16,2875;15,0374985;15,5041675;10,616667;11,016666;9,925;11,116666;10,416667;10,616667;9,775001
;34125;lagamas;34;3;occitanie;43,6746712;3,5327387;656;602;636;613;606;613;20,625002;21,633333;19,991667;21,616667;19,991667;20,625002;16,129167;16,8416665;15,516667;16,883334;15,7375005;16,129167;11,633332;12,05;11,041667;12,150001;11,483334;11,633332;8,99167
;11185;lagrasse;11;3;occitanie;43,0960007;2,6042001;689;634;668;653;642;653;19,541668;20,666666;18,933332;20,550001;18,933332;19,541668;15,287501;16,0333335;14,6916665;16,054167;14,970833;15,287501;11,033334;11,400001;10,450001;11,558333;11,008334;11,033334;8,508334
