cluster;precipitation_total;temp_moyenne;tmax_mean;tmin_mean
1;653,7979469;15,62734235;19,78262995;11,63744501
2;912,5823692;15,90369888;20,94231709;11,74270816
3;785,2610396;15,64135571;20,70718592;11,57731791
4;1169,253055;15,57031123;20,78262995;10,3434903
5;942,9072837;16,72429526;20,76682418;11,46195209
6;604,510673;16,84096464;21,70017924;12,58171745
7;1077,641845;15,60143393;20,69138015;10,52159035
