Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34201;pierrerue;34;2;occitanie;43,4413986;2,9632032;265;230;238;226;242;238;26,266668;27,333334;25,666666;28,133337;26,383333;26,383333;21,3166675;21,716667;20,633332;22,5750015;21,333333;21,333333;16,366667;16,1;15,599998;17,016666;16,283333;16,283333;10,1
;11289;pieusse;11;1;occitanie;43,0827942;2,2550347;344;300;310;296;310;310;25,116667;26,300001;24,533333;26,983332;25,35;25,35;20,025;20,483334;19,35;21,308333;20,1333335;20,1333335;14,933333;14,666667;14,166667;15,633334;14,916667;14,916667;10,433333
;34202;pignan;34;3;occitanie;43,5855637;3,7496443;272;231;239;229;246;239;26,383333;27,266668;25,800001;28,050001;26,466667;26,466667;21,583333;21,933334;20,9000005;22,7250005;21,5166675;21,583333;16,783333;16,6;16;17,4;16,566668;16,6;9,866667
;34203;pinet;34;6;occitanie;43,4092331;3,5126724;245;207;216;208;221;216;27,416666;28,333334;26,866667;29,066668;27,516668;27,516668;22,549999;22,9416675;21,916667;23,750001;22,5250015;22,549999;17,683332;17,550001;16,966667;18,433334;17,533335;17,550001;9,966667
;34206;poilhes;34;6;occitanie;43,3044586;3,0893736;243;208;218;207;221;218;27,166666;28,166666;26,549997;28,949997;27,299997;27,299997;22,083333;22,466667;21,3916655;23,333331;22,0999985;22,0999985;17;16,766668;16,233334;17,716665;16,9;16,9;10,399997
;66144;pollestres;66;6;occitanie;42,6374855;2,8728693;236;204;220;204;215;215;27,050001;28,050001;26,300001;28,700003;27,183334;27,183334;22,175001;22,550001;21,341667;23,333335;22,1500005;22,175001;17,300001;17,050001;16,383333;17,966667;17,116667;17,116667;10,066667
;11293;pomas;11;1;occitanie;43,1072121;2,2808106;326;285;293;279;294;293;25,35;26,550001;24,783333;27,249998;25,633333;25,633333;20,3;20,7500005;19,6333335;21,616666;20,433333;20,433333;15,25;14,95;14,483334;15,983334;15,233333;15,233333;10,4
;34207;pomerols;34;6;occitanie;43,4003525;3,5394237;245;207;216;208;221;216;27,416666;28,333334;26,866667;29,066668;27,516668;27,516668;22,549999;22,9416675;21,916667;23,750001;22,5250015;22,549999;17,683332;17,550001;16,966667;18,433334;17,533335;17,550001;9,966667
;30200;pompignan;30;4;occitanie;43,8960075;3,8597693;309;265;270;264;280;270;26,183334;27,083334;25,516668;27,883333;26,216667;26,216667;20,983334;21,3;20,2166675;22,0666665;20,8666665;20,983334;15,783334;15,516666;14,916667;16,25;15,516666;15,516666;10,700001
;30202;pont st esprit;30;7;occitanie;44,2525253;4,639277;391;347;338;337;354;347;27,883337;29,066668;27,266668;29,883333;28,083334;28,083334;21,908335;22,391667;21,2166675;23,175;21,933334;21,933334;15,933333;15,716666;15,166667;16,466667;15,783334;15,783334;12,3
;66145;ponteilla;66;6;occitanie;42,6327705;2,826257;242;208;226;210;221;221;26,949999;27,966667;26,216665;28,616667;27,116663;27,116663;22,0249995;22,3999995;21,2083325;23,1916675;22,0166655;22,0249995;17,1;16,833332;16,2;17,766668;16,916668;16,916668;10,199995
;11295;portel des corbieres;11;3;occitanie;43,0518837;2,906374;246;214;224;212;225;224;25,85;26,9;25,166666;27,616667;25,966667;25,966667;21,383333;21,7666665;20,616666;22,616667;21,383334;21,383334;16,916666;16,633333;16,066666;17,616667;16,800001;16,800001;9,166666
;30205;pougnadoresse;30;7;occitanie;44,0915756;4,5091009;377;332;331;325;341;332;26,966667;27,983335;26,283335;28,766668;27,066668;27,066668;21,3583335;21,7583345;20,591668;22,508334;21,2750005;21,3583335;15,75;15,533334;14,900001;16,25;15,483333;15,533334;11,533334
;30207;pouzilhac;30;5;occitanie;44,0390434;4,5810533;367;319;321;314;332;321;27,066666;27,983332;26,333336;28,733332;27,099998;27,099998;21,466667;21,8166665;20,6500015;22,5583325;21,3416655;21,466667;15,866668;15,650001;14,966667;16,383333;15,583333;15,650001;11,449997
;34214;pouzolles;34;3;occitanie;43,4793129;3,2737067;259;222;230;220;234;230;26,85;27,883333;26,333334;28,65;27,033335;27,033335;21,8166665;22,216667;21,1749995;23,05;21,8416675;21,8416675;16,783333;16,550001;16,016665;17,45;16,65;16,65;10,383335
;11296;pouzols minervois;11;5;occitanie;43,2849541;2,8125553;252;222;230;218;232;230;26,700003;27,783333;26,049997;28,566668;26,83333;26,83333;21,6833345;22,0666665;20,941665;22,958334;21,699998;21,699998;16,666666;16,35;15,833333;17,35;16,566666;16,566666;10,266664
;34217;prades le lez;34;7;occitanie;43,7074471;3,8649001;272;234;241;233;249;241;26,883333;27,716667;26,266668;28,516668;26,916666;26,916666;21,8666665;22,175;21,141667;22,966667;21,758333;21,8666665;16,85;16,633333;16,016666;17,416666;16,6;16,633333;10,283333
;34218;prades sur vernazobre;34;2;occitanie;43,4581604;2,9768164;265;230;238;226;242;238;26,266668;27,333334;25,666666;28,133337;26,383333;26,383333;21,3166675;21,716667;20,633332;22,5750015;21,333333;21,333333;16,366667;16,1;15,599998;17,016666;16,283333;16,283333;10,1
;34221;puechabon;34;3;occitanie;43,7251091;3,6060982;285;244;249;241;258;249;25,666664;26,6;25,066666;27,383333;25,75;25,75;20,9833325;21,3;20,2666665;22,1000005;20,9000005;20,9833325;16,300001;16;15,466667;16,816668;16,050001;16,050001;9,699999
;30208;puechredon;30;7;occitanie;43,9437485;4,0558562;316;271;275;270;287;275;26,716667;27,6;26,033333;28,4;26,766665;26,766665;21,416667;21,7250005;20,6416665;22,491667;21,299999;21,416667;16,116667;15,850001;15,25;16,583334;15,833333;15,850001;10,916664
