Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;625;579;611;589;582;589;21,083334;22,225;20,616665;22,199999;20,974998;21,083334;16,5000005;17,3541665;15,9999995;17,3625;16,358332;16,5000005;11,916667;12,483333;11,383334;12,525001;11,741666;11,916667;9,166667
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;630;583;612;592;585;592;21,15;22,258333;20,65;22,275;21,033333;21,15;16,604167;17,454167;16,104167;17,479167;16,4625;16,604167;12,058334;12,650001;11,558334;12,683334;11,891667;12,058334;9,091666
;34003;agde;34;6;occitanie;43,3092957;3,4841318;605;567;596;571;562;571;21,008333;22,116669;20,566668;22,108332;20,916666;21,008333;16,8791665;17,7416675;16,4291675;17,766666;16,7583325;16,8791665;12,75;13,366666;12,291667;13,425;12,599999;12,75;8,258333
;34004;agel;34;3;occitanie;43,3479614;2,8535292;651;609;645;620;614;620;19,866669;21,099998;19,341667;21,066668;19,808332;19,866669;15,529168;16,408332;14,9875005;16,4250005;15,429166;15,529168;11,191667;11,716666;10,633334;11,783333;11,05;11,191667;8,675002
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;642;604;637;611;606;611;20,025;21,216665;19,475;21,216665;19,941666;20,025;15,6833335;16,5499995;15,1333335;16,5833325;15,579166;15,6833335;11,341667;11,883334;10,791667;11,95;11,216666;11,341667;8,683333
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;708;657;687;665;654;665;21,266665;22,224998;20,791666;22,275;21,091667;21,266665;16,7666655;17,545832;16,2625;17,5833335;16,5500005;16,7666655;12,266666;12,866666;11,733334;12,891667;12,008334;12,266666;8,999999
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;672;629;663;639;635;639;20,141666;21,375;19,633335;21,325003;20,108335;20,141666;15,6833325;16,5625;15,1458345;16,5666685;15,604168;15,6833325;11,224999;11,75;10,658334;11,808334;11,100001;11,224999;8,916667
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;747;683;715;699;689;699;21,441666;22,458336;20,916668;22,491669;21,241667;21,441666;16,529167;17,3375015;16,0000005;17,358334;16,3041665;16,529167;11,616668;12,216667;11,083333;12,224999;11,366666;11,616668;9,824998
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;658;616;652;625;620;625;19,758331;20,975;19,216665;20,958334;19,675001;19,758331;15,399999;16,2750005;14,8749995;16,3041675;15,304167;15,399999;11,041667;11,575001;10,533334;11,650001;10,933333;11,041667;8,716664
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;730;672;702;686;674;686;21,583334;22,575003;21,058334;22,608332;21,4;21,583334;16,629167;17,4208345;16,087501;17,4374995;16,4000005;16,629167;11,675;12,266666;11,116668;12,266667;11,400001;11,675;9,908334
;11003;ajac;11;1;occitanie;43,044693;2,1365159;775;722;756;730;729;730;19,433332;20,674997;18,908335;20,625002;19,408335;19,433332;14,691666;15,5958315;14,162501;15,5958345;14,629167;14,691666;9,95;10,516666;9,416667;10,566667;9,849999;9,95;9,483332
;11004;alaigne;11;1;occitanie;43,0979767;2,0920765;797;745;777;753;752;753;19,233334;20,466665;18,691666;20,416666;19,166666;19,233334;14,4625005;15,358332;13,9249995;15,3624995;14,3791665;14,4625005;9,691667;10,249999;9,158333;10,308333;9,591667;9,691667;9,541667
;11008;alet les bains;11;1;occitanie;42,9941978;2,2586849;784;730;768;736;734;736;18,633333;19,85;18,075003;19,808334;18,6;18,633333;14,2291665;15,104167;13,6708345;15,116667;14,1541665;14,2291665;9,825;10,358334;9,266666;10,425;9,708333;9,825;8,808333
;34009;alignan du vent;34;3;occitanie;43,4688721;3,339623;631;584;613;594;586;594;20,925;22,041666;20,441668;22,058334;20,825;20,925;16,4083335;17,2625;15,9083345;17,2916665;16,279167;16,4083335;11,891667;12,483334;11,375001;12,524999;11,733334;11,891667;9,033333
;11009;alzonne;11;1;occitanie;43,2652245;2,174803;754;706;740;719;717;719;19,666666;20,9;19,141668;20,891666;19,624998;19,666666;14,983333;15,8874995;14,4541675;15,9041665;14,912499;14,983333;10,3;10,874999;9,766667;10,916667;10,2;10,3;9,366666
;34010;aniane;34;3;occitanie;43,6833763;3,5922244;679;620;652;631;627;631;20,191666;21,308332;19,691668;21,333334;20,066668;20,191666;15,81249875;16,662499;15,3041675;16,6833335;15,650001;15,81249875;11,4333315;12,016666;10,916667;12,033333;11,233334;11,4333315;8,7583345
;11010;antugnac;11;1;occitanie;42,962204;2,2189729;817;760;799;767;765;767;18,425001;19,683332;17,908333;19,625;18,4;18,425001;13,858334;14,7583325;13,3208335;14,7625005;13,8041665;13,858334;9,291667;9,833333;8,733334;9,900001;9,208333;9,291667;9,133334
;30012;aramon;30;5;occitanie;43,9043541;4,6832366;792;727;764;747;736;747;21,408333;22,408333;20,816668;22,433332;21,166666;21,408333;16,4166665;17,2000005;15,816667;17,2249995;16,145833;16,4166665;11,425;11,991668;10,816666;12,016667;11,125;11,425;9,983333
;66008;argeles sur mer;66;2;occitanie;42,5350876;3,0242193;644;613;650;597;592;613;19,541666;20,616667;19,033335;20,633333;19,533335;19,541666;15,5875;16,383333;15,062501;16,429167;15,491668;15,5875;11,633334;12,149999;11,091667;12,225001;11,450001;11,633334;7,908332
;11012;argeliers;11;6;occitanie;43,3113365;2,9104886;619;581;614;587;583;587;20,55;21,75;20,008333;21,716667;20,449999;20,55;16,1166665;16,987499;15,5708335;17,0083335;15,991666;16,1166665;11,683333;12,224998;11,133334;12,3;11,533333;11,683333;8,866667
;34012;argelliers;34;4;occitanie;43,7308121;3,6526229;760;694;728;710;699;710;18,90833;20,008333;18,383333;20,033333;18,775;18,90833;14,749998;15,579167;14,225;15,6124995;14,5833335;14,749998;10,591666;11,150001;10,066667;11,191666;10,391667;10,591666;8,316664
;11013;argens minervois;11;6;occitanie;43,245739;2,7709413;618;581;613;588;582;588;20,65833;21,875;20,116669;21,85;20,591665;20,65833;16,241665;17,1125005;15,6916675;17,1333335;16,1333325;16,241665;11,825;12,350001;11,266666;12,416667;11,675;11,825;8,83333
;11014;armissan;11;6;occitanie;43,1873894;3,0890152;610;572;607;576;569;576;20,291668;21,449999;19,783335;21,425001;20,208334;20,291668;16,179167;17,0291665;15,6625015;17,05833475;16,066667;16,179167;12,066666;12,608334;11,541668;12,6916685;11,925;12,066666;8,225002
;11016;arquettes en val;11;1;occitanie;43,1050911;2,4973755;777;728;766;735;733;735;18,266666;19,500002;17,725;19,466665;18,241667;18,266666;14,1624995;15,0541675;13,6250005;15,079166;14,1083335;14,1624995;10,058333;10,608333;9,525001;10,691667;9,975;10,058333;8,208333
