Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;11327;roullens;11;1;occitanie;43,166275;2,2689047;334;298;299;289;297;298;24,799997;26,033333;24,233335;26,516665;25,266668;25,266668;19,7499985;20,4166665;19,1666665;21,0083325;20,0500005;20,0500005;14,7;14,8;14,099998;15,5;14,833333;14,8;10,466668
;11328;routier;11;1;occitanie;43,1062202;2,1317058;352;312;314;301;312;312;25,266668;26,516665;24,716667;27,033333;25,75;25,75;19,8416675;20,516666;19,266667;21,133333;20,1583335;20,1583335;14,416667;14,516667;13,816667;15,233333;14,566667;14,516667;11,233333
;11330;rustiques;11;1;occitanie;43,2180862;2,4796574;294;264;264;254;263;264;25,766668;26,949999;25,166666;27,483335;26,199999;26,199999;20,600001;21,208333;19,975;21,841667;20,866666;20,866666;15,433334;15,466667;14,783334;16,199999;15,533333;15,466667;10,733332
;30225;sabran;30;7;occitanie;44,1503639;4,5515556;399;372;353;339;354;354;26,599998;27,550001;26,08333;28,283333;26,833334;26,833334;20,941666;21,4333335;20,358332;22,058333;21,0083335;21,0083335;15,283334;15,316666;14,633334;15,833333;15,183333;15,283334;11,55
;11368;salleles cabardes;11;1;occitanie;43,3188057;2,4167922;318;288;287;278;288;288;25,150002;26,366667;24,583334;26,91667;25,583334;25,583334;19,9750005;20,6;19,3666665;21,233335;20,2416675;20,2416675;14,799999;14,833333;14,149999;15,55;14,900001;14,833333;10,750001
;11369;salleles d aude;11;6;occitanie;43,2703362;2,9349368;248;223;224;214;223;223;26,75;27,85;26,099998;28,366667;27,033333;27,033333;21,666667;22,2333335;20,983332;22,8333335;21,8083335;21,8083335;16,583334;16,616667;15,866666;17,3;16,583334;16,583334;10,449999
;11370;salles d aude;11;6;occitanie;43,2363052;3,1071918;239;213;215;205;214;214;26,466667;27,53333;25,833334;28,066668;26,783333;26,783333;21,6416675;22,224998;20,991667;22,816668;21,791667;21,791667;16,816668;16,916666;16,15;17,566668;16,800001;16,816668;9,966665
;66190;salses le chateau;66;3;occitanie;42,8372154;2,91587;244;216;221;211;217;217;25,9;26,966665;25,199999;27,5;26,233335;26,233335;21,2583335;21,8166655;20,5333335;22,408333;21,4083345;21,4083345;16,616667;16,666666;15,866668;17,316666;16,583334;16,616667;9,616668
;11372;salsigne;11;1;occitanie;43,3215408;2,3574321;331;299;298;290;298;298;24,966667;26,183332;24,4;26,716667;25,433332;25,433332;19,7333335;20,3749995;19,133334;20,991667;20,033333;20,033333;14,5;14,566667;13,866668;15,266667;14,633334;14,566667;10,866665
;30309;sardan;30;7;occitanie;43,8668633;4,0348616;310;281;277;260;273;277;26,466665;27,316666;25,833334;27,949999;26,6;26,6;21,199999;21,6333335;20,516667;22,208333;21,1916665;21,199999;15,933333;15,950001;15,2;16,466667;15,783333;15,933333;10,666667
