Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;621;557;610;565;568;568;22,091667;23,483335;21,233332;24,066666;22,441666;22,441666;17,5125;18,425;16,6666655;19,0666665;17,8083325;17,8083325;12,933333;13,366665;12,099999;14,066667;13,174999;13,174999;9,266667
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;628;559;615;566;571;571;22,150002;23,533333;21,308332;24,141665;22,525;22,525;17,6083345;18,5333345;16,7791665;19,174998;17,9125;17,9125;13,066667;13,533336;12,250001;14,208331;13,3;13,3;9,225
;34003;agde;34;6;occitanie;43,3092957;3,4841318;597;541;594;550;550;550;22;23,366669;21,166666;23,908333;22,366667;22,366667;17,870833;18,8166675;17,070832;19,433333;18,1791665;18,1791665;13,741666;14,266666;12,974998;14,958333;13,991666;13,991666;8,375001
;34004;agel;34;3;occitanie;43,3479614;2,8535292;646;591;633;593;602;602;20,958332;22,408333;20,008333;23,000002;21,300001;21,300001;16,5916665;17,4875;15,675;18,1541675;16,8958335;16,8958335;12,225001;12,566667;11,341667;13,308333;12,491666;12,491666;8,808335
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;637;584;621;585;594;594;21,091665;22,566666;20,158333;23,116667;21,441666;21,441666;16,7416655;17,6416665;15,8333325;18,2958325;17,0624995;17,0624995;12,391666;12,716667;11,508332;13,474998;12,683333;12,683333;8,758333
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;709;626;701;644;639;644;22,25;23,441666;21,35;24,033335;22,5;22,5;17,7666665;18,6083335;16,8874995;19,2333345;17,945833;17,945833;13,283333;13,775001;12,424999;14,433334;13,391666;13,391666;9,108334
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;666;610;649;611;624;624;21,225;22,733335;20,291666;23,275002;21,65;21,65;16,745833;17,6625005;15,8124995;18,2958345;17,1208335;17,1208335;12,266666;12,591666;11,333333;13,316667;12,591667;12,591666;9,058334
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;752;654;732;673;672;673;22,458334;23,683334;21,5;24,300001;22,699999;22,699999;17,5833335;18,408333;16,633333;19,0333335;17,7375;17,7375;12,708333;13,133332;11,766666;13,766666;12,775001;12,775001;9,924998
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;653;598;638;598;607;607;20,833334;22,308334;19,908335;22,883333;21,183334;21,183334;16,4708335;17,3708335;15,5583335;18,0208335;16,779167;16,779167;12,108333;12,433333;11,208332;13,158334;12,375;12,375;8,808334
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;735;645;720;661;658;661;22,591667;23,816666;21,625;24,408335;22,841667;22,841667;17,654167;18,491667;16,7083335;19,100001;17,820833;17,820833;12,716667;13,166668;11,791667;13,791667;12,799999;12,799999;10,041668
;11003;ajac;11;1;occitanie;43,044693;2,1365159;766;697;739;697;712;712;20,566668;22,049997;19,599998;22,566668;20,958334;20,958334;15,808334;16,699999;14,8541655;17,320834;16,1541665;16,1541665;11,05;11,350001;10,108333;12,075;11,349999;11,349999;9,608335
;11004;alaigne;11;1;occitanie;43,0979767;2,0920765;790;719;761;717;734;734;20,35;21,841667;19,383333;22,366667;20,741667;20,741667;15,5624995;16,470834;14,6166665;17,0958335;15,9125;15,9125;10,774999;11,100001;9,85;11,825;11,083333;11,083333;9,658334
;11008;alet les bains;11;1;occitanie;42,9941978;2,2586849;772;705;746;704;718;718;19,766666;21,208334;18,783333;21,733332;20,15;20,15;15,3333335;16,2125005;14,3666665;16,8333325;15,6666665;15,6666665;10,900001;11,216667;9,95;11,933333;11,183333;11,183333;8,966667
;34009;alignan du vent;34;3;occitanie;43,4688721;3,339623;626;562;614;568;573;573;21,933332;23,333334;21,075;23,916666;22,291666;22,291666;17,4249995;18,3541665;16,5875005;18,9791665;17,7208325;17,7208325;12,916667;13,374999;12,100001;14,041667;13,149999;13,149999;9,141667
;11009;alzonne;11;1;occitanie;43,2652245;2,174803;748;682;727;686;701;701;20,766666;22,266668;19,825;22,808334;21,183334;21,183334;16,066666;16,9791675;15,1416665;17,616667;16,4333335;16,4333335;11,366666;11,691667;10,458333;12,425;11,683333;11,683333;9,500001
;34010;aniane;34;3;occitanie;43,6833763;3,5922244;682;599;660;607;614;614;21,2;22,583334;20,324999;23,191668;21,558332;21,558332;16,837499;17,7375005;15,962499;18,3708335;17,1166655;17,1166655;12,474998;12,891667;11,599999;13,549999;12,674999;12,674999;8,883333
;11010;antugnac;11;1;occitanie;42,962204;2,2189729;807;732;778;733;748;748;19,6;21,025;18,6;21,533335;19,966667;19,966667;14,9958335;15,8583335;14,016666;16,475;15,3166665;15,3166665;10,391667;10,691667;9,433332;11,416665;10,666666;10,666666;9,300001
;30012;aramon;30;5;occitanie;43,9043541;4,6832366;807;701;780;721;720;721;22,449999;23,674997;21,391665;24,266663;22,65;22,65;17,5041665;18,295832;16,4416665;18,912498;17,5958335;17,5958335;12,558334;12,916667;11,491668;13,558333;12,541667;12,558334;10,091666
;66008;argeles sur mer;66;2;occitanie;42,5350876;3,0242193;617;573;614;576;575;576;20,699999;21,883337;19,683332;22,425001;20,949999;20,949999;16,691666;17,479169;15,7041655;18,1041675;16,8958335;16,8958335;12,683333;13,075001;11,724999;13,783334;12,841668;12,841668;8,108331
;11012;argeliers;11;6;occitanie;43,3113365;2,9104886;614;562;600;561;571;571;21,591667;23,074999;20,691666;23,625;21,966667;21,966667;17,158333;18,075;16,2666665;18,725;17,4791665;17,4791665;12,724999;13,075001;11,841667;13,825;12,991666;12,991666;8,975001
;34012;argelliers;34;4;occitanie;43,7308121;3,6526229;763;670;739;679;689;689;19,908335;21,300001;19,008333;21,891668;20,241667;20,241667;15,783334;16,679167;14,8833335;17,304167;16,0291665;16,0291665;11,658333;12,058333;10,758334;12,716666;11,816666;11,816666;8,425001
;11013;argens minervois;11;6;occitanie;43,245739;2,7709413;611;563;596;563;569;569;21,741667;23,225;20,8;23,758331;22,099998;22,099998;17,308333;18,2125;16,387499;18,858332;17,6249985;17,6249985;12,874999;13,2;11,974998;13,958333;13,149999;13,149999;8,949999
;11014;armissan;11;6;occitanie;43,1873894;3,0890152;599;550;593;555;559;559;21,316666;22,733332;20,458334;23,28333;21,683334;21,683334;17,191666;18,108333;16,350001;18,758332;17,5083335;17,5083335;13,066666;13,483334;12,241668;14,233334;13,333333;13,333333;8,350001
;11016;arquettes en val;11;1;occitanie;43,1050911;2,4973755;767;704;744;703;716;716;19,383333;20,858334;18,425001;21,375;19,775;19,775;15,2583335;16,1458335;14,325;16,795833;15,6125;15,6125;11,133334;11,433333;10,224999;12,216666;11,45;11,433333;8,341667
;11018;arzens;11;1;occitanie;43,2012634;2,204571;792;723;761;721;736;736;19,991667;21,508333;19,050001;22,033335;20,408333;20,408333;15,483333;16,4;14,566667;17,045834;15,858333;15,858333;10,974999;11,291667;10,083333;12,058333;11,308333;11,291667;9,116666
;30018;asperes;30;7;occitanie;43,8070602;4,0390196;757;659;733;671;677;677;21,549997;22,875002;20,583334;23,474998;21,841667;21,841667;16,854165;17,7041675;15,8875005;18,324999;17,0416675;17,0416675;12,158333;12,533333;11,191667;13,175;12,241668;12,241668;9,599999
;34013;aspiran;34;3;occitanie;43,5671921;3,4483216;641;569;627;577;582;582;21,758337;23,166666;20,891665;23,75;22,125;22,125;17,3125015;18,2416665;16,462499;18,870833;17,616667;17,616667;12,866666;13,316667;12,033333;13,991666;13,108334;13,108334;9,016666
;34014;assas;34;7;occitanie;43,7104454;3,8982704;726;637;705;647;652;652;21,450003;22,775002;20,516665;23,383333;21,75;21,75;16,8541685;17,7125005;15,933332;18,3499995;17,066666;17,066666;12,258334;12,649999;11,349999;13,316666;12,383332;12,383332;9,366668
;34015;assignan;34;3;occitanie;43,4002495;2,8866763;676;616;660;616;628;628;20,333334;21,800001;19,4;22,383331;20,691668;20,691668;16,0833335;16,995834;15,175;17,641665;16,3916675;16,3916675;11,833333;12,191667;10,95;12,899999;12,091667;12,091667;8,600001
;30020;aubord;30;5;occitanie;43,7515526;4,3173575;778;678;755;694;694;694;22,449999;23,708334;21,491667;24,300001;22,716665;22,716665;17,6166665;18,45;16,6375;19,0541675;17,7666655;17,7666655;12,783334;13,191666;11,783333;13,808334;12,816666;12,816666;9,899999
;34016;aumelas;34;3;occitanie;43,5776405;3,6174262;708;628;694;640;642;642;20,8;22,158333;19,941666;22,741667;21,15;21,15;16,5375005;17,4375;15,683332;18,0625005;16,8000005;16,8000005;12,275001;12,716667;11,424998;13,383334;12,450001;12,450001;8,699999
;34018;autignac;34;2;occitanie;43,5000343;3,1674125;643;578;627;581;592;592;20,858332;22,300003;19,991669;22,9;21,241667;21,241667;16,645833;17,5625015;15,787502;18,212501;16,9625005;16,9625005;12,433334;12,825;11,583335;13,525002;12,683334;12,683334;8,558333
;34020;azillanet;34;3;occitanie;43,3238373;2,7455108;632;581;619;582;593;593;21,424997;22,924997;20,491667;23,474998;21,791666;21,791666;16,912499;17,8291655;15,9958335;18,4749985;17,245833;17,245833;12,400001;12,733334;11,5;13,474999;12,7;12,7;9,091666
;11022;azille;11;6;occitanie;43,2738876;2,6567986;639;587;623;588;598;598;21,541666;23,025;20,608334;23,574999;21,925001;21,925001;16,958333;17,8625;16,0375;18,508333;17,3000005;17,3000005;12,375;12,7;11,466666;13,441667;12,675;12,675;9,250001
;11023;badens;11;1;occitanie;43,2212448;2,5050173;666;610;649;611;624;624;21,225;22,733335;20,291666;23,275002;21,65;21,65;16,745833;17,6625005;15,8124995;18,2958345;17,1208335;17,1208335;12,266666;12,591666;11,333333;13,316667;12,591667;12,591666;9,058334
;66011;bages;66;6;occitanie;42,6077614;2,8890972;553;513;545;516;515;516;22,516665;23,741667;21,508331;24,258331;22,758331;22,758331;17,8749995;18,645833;16,8791655;19,2583315;18,062498;18,062498;13,233334;13,549999;12,25;14,258332;13,366665;13,366665;9,391666
;11025;bagnoles;11;1;occitanie;43,2679024;2,4489684;705;646;683;644;661;661;20,975;22,450003;20,016668;22,991667;21,400002;21,400002;16,4;17,3041685;15,470834;17,945834;16,7833345;16,7833345;11,825;12,158334;10,925;12,900001;12,166667;12,158334;9,241668
;30028;bagnols sur ceze;30;7;occitanie;44,1628189;4,6246486;877;765;840;778;791;791;21,633331;23,133333;20,625;23,725;21,983335;21,983335;16,6916655;17,620833;15,683334;18,245833;16,9250005;16,9250005;11,75;12,108333;10,741668;12,766666;11,866666;11,866666;10,116669
;66014;baixas;66;3;occitanie;42,7457008;2,8054805;575;530;562;535;534;535;22,283335;23,549997;21,241667;24,116669;22,533335;22,533335;17,7500005;18,5249985;16,729167;19,1833345;17,95;17,95;13,216666;13,5;12,216667;14,25;13,366665;13,366665;9,16667
;11027;barbaira;11;1;occitanie;43,175148;2,5144706;676;620;656;620;633;633;20,866667;22,333334;19,916666;22,883333;21,266665;21,266665;16,5125005;17,4166675;15,591666;18,066666;16,8833325;16,8833325;12,158334;12,500001;11,266666;13,249999;12,5;12,5;8,766665
;30029;barjac;30;5;occitanie;44,3123817;4,3487458;881;760;829;768;794;794;20,616667;22,275;19,641666;22,9;21,091665;21,091665;15,7416675;16,7499995;14,766666;17,4041665;16,074999;16,074999;10,866668;11,224999;9,891666;11,908333;11,058333;11,058333;10,033332
;30030;baron;30;5;occitanie;44,0554504;4,2746797;858;743;822;757;770;770;20,958334;22,408333;19,975;23,016668;21,316666;21,316666;16,1333335;17,0541665;15,15;17,670834;16,3791665;16,3791665;11,308333;11,7;10,325;12,325;11,441667;11,441667;9,874999
;34025;bassan;34;5;occitanie;43,40868;3,2554038;613;551;601;559;563;563;22,125;23,516665;21,258333;24,091667;22,483332;22,483332;17,5750005;18,491666;16,733333;19,1333325;17,8791665;17,8791665;13,025001;13,466667;12,208333;14,174998;13,275001;13,275001;9,208331
;30032;beaucaire;30;5;occitanie;43,7797356;4,5938392;780;681;761;699;696;699;22,650002;23,791664;21,625;24,39167;22,841667;22,841667;17,7208335;18,4916655;16,691667;19,108335;17,808334;17,808334;12,791665;13,191667;11,758334;13,825;12,775001;12,791665;10,050002
;34026;beaufort;34;5;occitanie;43,3041801;2,7678614;651;598;637;598;607;607;21,000002;22,491669;20,083332;23,050001;21,366669;21,366669;16,6083345;17,529168;15,7124995;18,187501;16,950001;16,950001;12,216667;12,566667;11,341667;13,325001;12,533333;12,533333;8,833336
;30033;beauvoisin;30;5;occitanie;43,6959877;4,3224649;779;683;762;700;697;700;22,316666;23,516668;21,358335;24,116667;22,549997;22,549997;17,5208335;18,3416665;16,566667;18,9541675;17,662498;17,662498;12,725001;13,166665;11,774999;13,791668;12,774999;12,774999;9,774998
;34028;bedarieux;34;3;occitanie;43,6127357;3,1662498;678;609;661;611;623;623;20,108334;21,558332;19,2;22,15833;20,483334;20,483334;15,9166665;16,8333325;15,0249995;17,4708315;16,225;16,225;11,724999;12,108333;10,849999;12,783333;11,966666;11,966666;8,516668
;34029;belarga;34;5;occitanie;43,5539398;3,4993558;628;558;613;564;569;569;22,058334;23,466667;21,216665;24,050001;22,425001;22,425001;17,5458335;18,4791675;16,7291665;19,1124995;17,850001;17,850001;13,033333;13,491668;12,241668;14,174998;13,275001;13,275001;9,15
;30034;bellegarde;30;5;occitanie;43,7516403;4,4958606;803;698;782;720;716;720;22,525;23,700003;21,508333;24,291666;22,741667;22,741667;17,6249995;18,4208345;16,6208335;19,0333325;17,7375;17,7375;12,724999;13,141666;11,733334;13,774999;12,733333;12,733333;10,008334
;11034;belveze du razes;11;1;occitanie;43,1238136;2,0910823;790;719;761;717;734;734;20,35;21,841667;19,383333;22,366667;20,741667;20,741667;15,5624995;16,470834;14,6166665;17,0958335;15,9125;15,9125;10,774999;11,100001;9,85;11,825;11,083333;11,083333;9,658334
;34030;berlou;34;2;occitanie;43,498703;2,9500434;742;671;723;674;689;689;19,216665;20,708334;18,333332;21,283335;19,6;19,6;15,158332;16,091666;14,2874995;16,7291685;15,495833;15,495833;11,099999;11,474998;10,241667;12,175002;11,391666;11,391666;8,208334
;34031;bessan;34;6;occitanie;43,3570938;3,4160185;599;544;594;550;552;552;22,158335;23,541666;21,324999;24,083334;22,525;22,525;17,737501;18,6666665;16,9208325;19,295833;18,0541665;18,0541665;13,316667;13,791667;12,516666;14,508332;13,583333;13,583333;8,941667
;34032;beziers;34;6;occitanie;43,3474655;3,2308598;614;558;604;566;568;568;22,041666;23,458336;21,191666;24;22,391665;22,391665;17,5958325;18,525001;16,7499995;19,145834;17,895832;17,895832;13,149999;13,591666;12,308333;14,291668;13,399999;13,399999;8,991666
;30039;bezouce;30;5;occitanie;43,874649;4,5005374;825;717;801;737;737;737;22,466665;23,683332;21,416666;24,275;22,666666;22,666666;17,4375005;18,220833;16,391666;18,841667;17,5333335;17,5333335;12,408336;12,758334;11,366666;13,408334;12,400001;12,408336;10,25833
;11040;bizanet;11;6;occitanie;43,1483841;2,8698385;601;555;587;556;560;560;21,6;23,041666;20,633333;23,574999;21,933334;21,933334;17,2249995;18,1291665;16,304167;18,7749985;17,5416665;17,5416665;12,849999;13,216667;11,975001;13,974998;13,149999;13,149999;8,783335
