Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;637;579;602;572;564;579;21,358332;22,308334;20,841665;22,766668;21,625;21,625;16,754167;17,3875;16,266666;17,8875;16,9125;16,9125;12,150002;12,466666;11,691667;13,008332;12,2;12,2;9,425
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;642;584;604;575;565;584;21,441666;22,366667;20,925001;22,841667;21,675001;21,675001;16,8708325;17,4875;16,391667;18,0000005;17,0041665;17,0041665;12,299999;12,608333;11,858333;13,158334;12,333332;12,333332;9,341669
;34003;agde;34;6;occitanie;43,3092957;3,4841318;616;562;587;557;543;562;21,308332;22,216665;20,824999;22,666666;21,566668;21,566668;17,158333;17,787499;16,691666;18,2833335;17,3125005;17,3125005;13,008334;13,358333;12,558333;13,900001;13,058333;13,058333;8,508335
;34004;agel;34;3;occitanie;43,3479614;2,8535292;663;608;629;605;592;608;20,183334;21,208334;19,625;21,641665;20,491667;20,491667;15,8000005;16,45;15,2833335;16,945832;16,0041665;16,0041665;11,416667;11,691666;10,941667;12,249999;11,516666;11,516666;8,975001
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;655;600;620;598;585;600;20,3;21,333334;19,741667;21,783333;20,624998;20,624998;15,941666;16,5750005;15,4125;17,1041665;16,1541655;16,1541655;11,583332;11,816667;11,083333;12,425;11,683333;11,683333;8,941665
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;729;663;684;649;630;663;21,549997;22,308334;21,041666;22,775002;21,675001;21,675001;17,037499;17,5791675;16,5291655;18,0625005;17,0625005;17,0625005;12,525001;12,850001;12,016665;13,349999;12,45;12,525001;9,15
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;688;630;649;626;614;630;20,425;21,508333;19,891666;21,916666;20,816668;20,816668;15,9291665;16,5958335;15,4083325;17,0958335;16,204167;16,204167;11,433333;11,683334;10,924999;12,275001;11,591666;11,591666;9,225002
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;766;695;715;680;664;695;21,716667;22,525;21,158335;23,025;21,841667;21,841667;16,7999995;17,3625005;16,266667;17,8625;16,8333335;16,8333335;11,883332;12,200001;11,374999;12,7;11,825;11,883332;9,958335
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;671;615;635;612;598;615;20,041666;21,083334;19,483332;21,525002;20,366667;20,366667;15,6666665;16,316668;15,1333325;16,825001;15,8666665;15,8666665;11,291667;11,550002;10,783333;12,125;11,366666;11,366666;9,000001
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;752;681;702;668;650;681;21,858335;22,641668;21,325;23,133333;22;22;16,887501;17,4500015;16,3666665;17,929167;16,9249995;16,9249995;11,916667;12,258335;11,408333;12,725001;11,849999;11,916667;10,083333
