Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34162;montagnac;34;5;occitanie;43,4746475;3,5100605;638;615;582;601;590;601;21,433334;22,158335;20,866667;22,958336;21,533335;21,533335;17,0416675;17,4500005;16,379167;18,2500015;17,058334;17,058334;12,650001;12,741666;11,891667;13,541667;12,583333;12,650001;8,883334
;30174;montaren et st mediers;30;5;occitanie;44,0448761;4,3834438;854;825;769;793;784;793;20,775002;21,525;20,033333;22,391665;20,841665;20,841665;15,8375015;16,233333;15,004166;17,058332;15,7958325;15,8375015;10,900001;10,941666;9,974999;11,724999;10,75;10,900001;9,941664
;34163;montarnaud;34;4;occitanie;43,6469803;3,6996753;689;665;627;647;637;647;20,483335;21,174997;19,841665;21,991669;20,558334;20,558334;16,195834;16,574998;15,475;17,3750005;16,1875005;16,195834;11,908333;11,974999;11,108335;12,758332;11,816667;11,908333;8,650001
;34164;montaud;34;7;occitanie;43,7476921;3,9594116;715;691;651;670;659;670;21,425001;22,066668;20,725;22,883333;21,441668;21,441668;16,6458345;16,99999975;15,8833325;17,795833;16,5750005;16,6458345;11,866668;11,9333315;11,041665;12,708333;11,708333;11,866668;9,575
;34166;montblanc;34;6;occitanie;43,3729286;3,3431222;597;575;546;566;556;566;21,733335;22,491667;21,133333;23,233332;21,849998;21,849998;17,325001;17,745833;16,645833;18,516666;17,362499;17,362499;12,916667;12,999999;12,158333;13,8;12,875;12,916667;8,933331
;11241;montbrun des corbieres;11;6;occitanie;43,2012138;2,6816652;638;619;586;610;600;610;20,925;21,716667;20,225;22,499998;21,058332;21,058332;16,4958335;16,8791675;15,7208335;17,7124985;16,562499;16,562499;12,066667;12,041668;11,216667;12,924999;12,066666;12,066666;8,991666
;30177;monteils;30;4;occitanie;44,0891266;4,1815314;807;774;723;743;738;743;20,758333;21,533333;20,033333;22,425001;20,85;20,85;15,8249995;16,245833;15,0249995;17,075;15,8125005;15,8249995;10,891666;10,958333;10,016666;11,724999;10,775001;10,891666;9,958334
;34167;montels;34;6;occitanie;43,2898636;3,025382;580;560;531;552;545;552;21,791666;22,550001;21,124998;23,308334;21,908333;21,908333;17,2374995;17,633334;16,516666;18,4416675;17,2916665;17,2916665;12,683333;12,716667;11,908334;13,575001;12,675;12,683333;9,225
;34168;montesquieu;34;2;occitanie;43,5623322;3,271327;661;638;606;624;618;624;19,866667;20,616667;19,241667;21,433332;19,966667;19,966667;15,8041665;16,2125005;15,1;17,024999;15,841667;15,841667;11,741666;11,808334;10,958333;12,616666;11,716667;11,741666;8,225001
;66115;montesquieu des alberes;66;2;occitanie;42,5187111;2,8732986;610;557;563;587;561;563;21,2;21,908333;20,425001;22,541666;21,266666;21,266666;16,75;17,1041665;15,9083335;17,804166;16,720833;16,75;12,3;12,3;11,391666;13,066666;12,175;12,3;8,966666
