type_mvt;code_couleur;annee;volume;surface;code_cepage;cvi;rendement;commune;rendement_plafonne_RS;rendement_plafonne_RG_BL;Zone;code_departement;departement
REVE;RS;2011;46.0;0.0;;6601615610;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;512.0;0.0;;6601615610;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;165.0;0.0;;6601615610;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;42.0;0.0;;6601605590;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;237.0;0.0;;6601605590;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;49.0;0.0;;6601605590;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;3.0;0.0;;6601605590;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;7.0;0.0;;6601605590;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;40.0;0.0;;6614821720;;66148;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;48.0;0.0;;6614821720;;66148;100;0;0;66;Pyrénées-Orientales
REVE;RS;2011;202.0;0.0;;6601609210;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RS;2011;115.0;0.0;;6601609210;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;341.0;0.0;;6601609210;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;99.0;0.0;;6601609210;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;226.0;0.0;;6601609210;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;344.0;0.0;;6605309380;;66053;100;0;0;66;Pyrénées-Orientales
REVE;RS;2011;3.0;0.0;;6601623650;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;24.0;0.0;;6601623650;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;14.0;0.0;;6601623650;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;40.0;0.0;;6601623340;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;184.0;0.0;;6601623340;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;131.0;0.0;;6601623340;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;17.0;0.0;;6601623340;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;942.0;0.0;;6605309380;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;271.0;0.0;;6605309380;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;242.0;0.0;;6605309380;;66053;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;40.0;0.0;;6605307820;;66053;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;188.0;0.0;;6605307820;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;36.0;0.0;;6605307820;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;44.0;0.0;;6605307820;;66053;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;15.0;0.0;;6605304130;;66053;100;0;0;66;Pyrénées-Orientales
REVE;BL;2011;19.0;0.0;;6605304130;;66053;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;789.0;0.0;;6604100290;;66041;100;0;3;66;Pyrénées-Orientales
REVE;RG;2011;420.0;0.0;;6604100290;;66041;0;90;3;66;Pyrénées-Orientales
REVE;BL;2011;170.0;0.0;;6604100290;;66041;0;90;3;66;Pyrénées-Orientales
REVE;RG;2011;281.0;0.0;;6601697180;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;25.0;0.0;;6601697180;;66016;100;0;0;66;Pyrénées-Orientales
REVE;BL;2011;134.0;0.0;;6601697180;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;4193.0;0.0;;6601613870;;66016;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;10388.0;0.0;;6601613870;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;2260.0;0.0;;6601613870;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;240.0;0.0;;6601613870;;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;13.0;0.66;;6601623570;19,7;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;2.0;0.06;;6601623570;33,33;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;11.0;0.35;;6601697810;31,43;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;25.0;0.63;;6601697810;39,68;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;34.0;0.86;;6601697810;39,53;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;12.0;0.3;;6601622530;40;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;4.0;0.11;;6601623570;36,36;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;5.0;0.15;;6601622530;33,33;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;3.0;0.11;;6601623570;27,27;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;20.0;0.55;;6601622530;36,36;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;21.0;1.05;;6601697190;20;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;87.0;0.0;;6601616060;;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;11.0;0.6;;6601616060;18,33;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;24.0;0.74;;6605303830;32,43;66053;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;112.0;2.9;;6605303830;38,62;66053;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;9.0;0.4;;6605303830;22,5;66053;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;12.0;0.43;;6605303830;27,91;66053;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;19.0;0.0;;6601600051;;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;52.0;1.35;;6605302780;38,52;66053;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;92.0;2.33;;6605302780;39,48;66053;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;30.0;0.79;;6605302780;37,97;66053;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;31.0;1.02;;6605302780;30,39;66053;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;8.0;0.5;;6601600051;16;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;60.0;0.0;;6601622210;;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;335.0;9.56;;6601622210;35,04;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;175.0;4.39;;6614820480;39,86;66148;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;30.0;0.91;;6601622210;32,97;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;80.0;2.5;;6601622210;32;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;3.0;0.1;;6601601690;30;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;18.0;0.46;;6614820480;39,13;66148;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;21.0;0.54;;6601601690;38,89;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;36.0;0.9;;6601607700;40;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;5.0;0.13;;6601607700;38,46;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;22.0;0.7;;6601608650;31,43;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;44.0;1.41;;6601608650;31,21;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;8.0;0.4;;6601602700;20;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;25.0;0.0;;6601602700;;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;13.0;0.0;;6601602700;;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;58.0;1.45;;6605309460;40;66053;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;158.0;4.16;;6605309460;37,98;66053;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;80.0;2.25;;6601623130;35,56;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;27.0;0.98;;6605309460;27,55;66053;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;163.0;0.0;;6601623130;;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;42.0;1.32;;6601605590;31,82;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;101.0;2.62;;6601623130;38,55;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;19.0;0.79;;6601623130;24,05;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;46.0;1.64;;6601615610;28,05;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;512.0;14.44;;6601615610;35,46;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;165.0;5.16;;6601615610;31,98;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;237.0;6.13;;6601605590;38,66;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;3.0;0.22;;6601623650;13,64;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;49.0;1.23;;6601605590;39,84;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;3.0;0.11;;6601605590;27,27;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;48.0;1.2;;6614821720;40;66148;100;0;0;66;Pyrénées-Orientales
DECR;RS;2011;202.0;5.89;;6601609210;34,3;66016;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;40.0;1.13;;6614821720;35,4;66148;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;341.0;12.56;;6601609210;27,15;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;99.0;2.87;;6601609210;34,49;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;226.0;7.6;;6601609210;29,74;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;115.0;10.88;;6601609210;10,57;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;24.0;0.0;;6601623650;;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;14.0;0.74;;6601623650;18,92;66016;0;90;0;66;Pyrénées-Orientales
